,Close,High,Low,Open,psUnix
1783,352378054.2440215951126563567433976,352378054.2440215951126563567433976,352378054.2440215951126563567433976,352378054.2440215951126563567433976,1627311600
1784,354202684.9671073221780788107727167,354202684.9671073221780788107727167,354202684.9671073221780788107727167,354202684.9671073221780788107727167,1627318800
1785,353188015.2715500345465493290591057,353188015.2715500345465493290591057,353188015.2715500345465493290591057,353188015.2715500345465493290591057,1627322400
1786,353188015.2715500345465493290591057,353188015.2715500345465493290591057,353188015.2715500345465493290591057,353188015.2715500345465493290591057,1627326000
1787,353707230.0389866089510464279043486,353707230.0389866089510464279043486,353707230.0389866089510464279043486,353707230.0389866089510464279043486,1627329600
1788,356167405.9727293849586900306361002,359074580.4017228185545613204881306,353707230.0389866089510464279043486,353707230.0389866089510464279043486,1627333200
1789,354408532.3224231911222537534868942,356024223.106927267577042541665293,354408532.3224231911222537534868942,356024223.106927267577042541665293,1627336800
1790,354064184.348134300508431434454095,419117953.3488649026604769942721523,354064184.348134300508431434454095,419117953.3488649026604769942721523,1627344000
1791,357497625.7987830871041860092464577,357497625.7987830871041860092464577,354367472.5964813047099272350936573,354367472.5964813047099272350936573,1627347600
1792,357497625.7987830871041860092464577,357497625.7987830871041860092464577,357497625.7987830871041860092464577,357497625.7987830871041860092464577,1627351200
1793,358325279.1728843345477222999489485,359073560.7685977901737941561242466,357497625.7987830871041860092464577,357497625.7987830871041860092464577,1627354800
1794,357201324.525023400937182816392708,357524856.7731324951394930453260467,357201324.525023400937182816392708,357524856.7731324951394930453260467,1627358400
1795,355270084.9728768321891456815311437,357201324.525023400937182816392708,355270084.9728768321891456815311437,357201324.525023400937182816392708,1627365600
1796,355270084.9728768321891456815311437,355270084.9728768321891456815311437,355270084.9728768321891456815311437,355270084.9728768321891456815311437,1627369200
1797,355349607.5655099504791399328630831,355349607.5655099504791399328630831,355349607.5655099504791399328630831,355349607.5655099504791399328630831,1627380000
1798,355667800.6782018635597300816791335,355667800.6782018635597300816791335,355667800.6782018635597300816791335,355667800.6782018635597300816791335,1627383600
1799,356442339.1958310521289018324040875,356442339.1958310521289018324040875,355798295.3751058507306166165378161,355798295.3751058507306166165378161,1627387200
1800,357952603.8946118278391667031784417,357952603.8946118278391667031784417,356633522.9642977463487976177837999,356633522.9642977463487976177837999,1627390800
1801,359645309.8584227452730033641477794,359645309.8584227452730033641477794,358988998.5723777764918913507255009,358988998.5723777764918913507255009,1627394400
1802,360896441.0776915867859283155888066,360896441.0776915867859283155888066,359932570.7372490040648670195342725,359932570.7372490040648670195342725,1627398000
1803,362916284.6109976208525637523554255,362916284.6109976208525637523554255,360896441.0776915867859283155888066,360896441.0776915867859283155888066,1627401600
1804,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,1627405200
